Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | M5S | Lega | PD | FI | FdI | LS | PaP | +Eu | NcI | CPI | C! | EV | Az | IV | SI | Art.1 | CI | Italexit | IpF | IC | AVS | NM | UP | ISP | DSP | Other
SWG | La7 | 2023-11-06 | 2023-11-06 | N | 1200 | N/A | 0.1 | 16.4 | 9.8 | 20.0 | 6.4 | 29.2 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 4.0 | 2.8 | N/A | N/A | N/A | 1.6 | N/A | N/A | 3.6 | 1.0 | 1.3 | N/A | N/A | 1.5
Quorum – YouTrend | Sky TG24 | 2023-11-06 | 2023-11-06 | N | 802 | N/A | 0.1 | 14.2 | 9.5 | 19.2 | 6.0 | 29.5 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 4.2 | 2.6 | N/A | N/A | N/A | 2.2 | N/A | N/A | 3.2 | 1.8 | N/A | N/A | N/A | 5.2
BiDiMedia | N/A | 2023-11-02 | 2023-11-04 | N | 1000 | N/A | 0.1 | 16.0 | 9.5 | 19.3 | 6.3 | 29.1 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.0 | 2.7 | N/A | N/A | N/A | 1.7 | N/A | N/A | 3.2 | 0.8 | 1.2 | N/A | 1.0 | 2.7
Ixè | N/A | 2023-11-03 | 2023-11-03 | N | 1000 | N/A | 0.1 | 16.9 | 8.1 | 19.4 | 7.0 | 29.7 | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A | 3.4 | 2.5 | N/A | N/A | N/A | 2.0 | N/A | N/A | 3.8 | 0.9 | N/A | N/A | N/A | 2.8
Tecnè | Agenzia Dire | 2023-11-02 | 2023-11-03 | N | 1000 | N/A | 0.1 | 16.0 | 9.0 | 19.6 | 10.1 | 28.7 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | 3.7 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A | 4.6
Lab2101 | Affari Italiani | 2023-11-02 | 2023-11-02 | N | 1000 | N/A | 0.1 | 16.7 | 10.6 | 19.3 | 5.5 | 29.4 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 3.9 | 3.4 | N/A | N/A | N/A | 2.5 | N/A | N/A | 4.0 | 0.5 | N/A | N/A | N/A | 1.8
Quorum – YouTrend | Sky TG24 | 2023-11-02 | 2023-11-02 | N | 802 | N/A | 0.1 | 14.2 | 9.5 | 19.2 | 6.0 | 29.5 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 4.2 | 2.6 | N/A | N/A | N/A | 2.2 | N/A | N/A | 3.2 | 1.8 | N/A | N/A | N/A | 5.2
Euromedia | La Stampa | 2023-11-02 | 2023-11-02 | N | 800 | N/A | 0.1 | 17.0 | 8.4 | 19.0 | 7.9 | 28.0 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.2 | 3.3 | N/A | N/A | N/A | 2.5 | N/A | N/A | 3.5 | 0.5 | N/A | N/A | N/A | 3.2
Eumetra | La7 | 2023-11-01 | 2023-11-01 | N | 800 | N/A | 0.1 | 16.2 | 9.7 | 19.9 | 6.5 | 28.9 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | 3.7 | 2.9 | N/A | N/A | N/A | 2.0 | N/A | N/A | 3.4 | 1.0 | N/A | N/A | N/A | 3.6
SWG | La7 | 2023-10-25 | 2023-10-30 | N | 1200 | N/A | 0.1 | 16.1 | 10.2 | 20.2 | 6.2 | 29.0 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | 3.7 | 2.8 | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.5 | 1.0 | 1.4 | N/A | N/A | 1.9
Index Research | Giornale Radio | 2023-10-27 | 2023-10-27 | N | 800 | N/A | 0.1 | 16.7 | 10.0 | 19.5 | 6.1 | 29.8 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | 4.2 | 2.6 | N/A | N/A | N/A | 1.7 | N/A | N/A | 3.7 | N/A | N/A | N/A | N/A | 3.1
EMG | Rai 3 | 2023-10-27 | 2023-10-27 | N | N/A | N/A | 0.1 | 16.3 | 9.0 | 19.2 | 7.9 | 27.7 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 3.8 | 4.0 | N/A | N/A | N/A | 2.8 | N/A | N/A | 3.0 | 1.3 | 1.0 | N/A | N/A | 1.5
Tecnè | Agenzia Dire | 2023-10-26 | 2023-10-27 | N | 1000 | N/A | 0.1 | 16.2 | 9.2 | 19.8 | 10.0 | 28.7 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | 3.6 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A | 4.6
Euromedia | Italpress | 2023-10-26 | 2023-10-26 | N | 800 | N/A | 0.1 | 16.9 | 8.0 | 19.2 | 7.7 | 28.5 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.2 | 3.2 | N/A | N/A | N/A | 2.4 | N/A | N/A | 3.3 | 0.5 | N/A | N/A | N/A | 3.6
Quorum – YouTrend | Sky TG24 | 2023-10-24 | 2023-10-26 | N | 802 | N/A | 0.1 | 14.4 | 9.2 | 19.5 | 5.9 | 29.4 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | 4.5 | 2.8 | N/A | N/A | N/A | 2.3 | N/A | N/A | 3.3 | 1.5 | N/A | N/A | N/A | 4.9
Eumetra | La7 | 2023-10-24 | 2023-10-25 | N | 800 | N/A | 0.1 | 16.5 | 9.6 | 19.6 | 6.8 | 28.6 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 3.9 | 2.8 | N/A | N/A | N/A | 2.0 | N/A | N/A | 3.4 | 0.8 | N/A | N/A | N/A | 3.6
Lab2101 | Affari Italiani | 2023-10-20 | 2023-10-25 | N | 1000 | N/A | 0.1 | 16.6 | 11.1 | 19.2 | 5.5 | 29.6 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 3.8 | 3.4 | N/A | N/A | N/A | 2.3 | N/A | N/A | 3.9 | 0.6 | N/A | N/A | N/A | 1.5
Euromedia | Rai 1 | 2023-10-23 | 2023-10-23 | N | 800 | N/A | 0.1 | 16.8 | 8.5 | 19.5 | 7.3 | 29.0 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.0 | 3.1 | N/A | N/A | N/A | 2.3 | N/A | N/A | 2.8 | 0.5 | N/A | N/A | N/A | 3.7
SWG | La7 | 2023-10-18 | 2023-10-23 | N | 1200 | N/A | 0.1 | 16.4 | 10.2 | 19.8 | 6.3 | 28.7 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 3.9 | 2.7 | N/A | N/A | N/A | 1.6 | N/A | N/A | 3.5 | 1.0 | 1.5 | N/A | N/A | 2.0
Tecnè | Agenzia Dire | 2023-10-19 | 2023-10-20 | N | 1000 | N/A | 0.1 | 16.1 | 9.3 | 19.7 | 10.0 | 29.0 | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A | 3.5 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | 3.3 | N/A | N/A | N/A | N/A | 4.6
Termometro Politico | N/A | 2023-10-18 | 2023-10-20 | N | 4000 | N/A | 0.1 | 16.0 | 9.8 | 19.2 | 6.1 | 29.7 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | 3.7 | 2.5 | N/A | N/A | N/A | 2.3 | N/A | N/A | 2.8 | N/A | 1.7 | N/A | 1.6 | 2.0
Quorum – YouTrend | Sky TG24 | 2023-10-18 | 2023-10-20 | N | 800 | N/A | 0.1 | 14.5 | 9.0 | 19.9 | 6.1 | 29.8 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | 4.2 | 2.9 | N/A | N/A | N/A | 2.1 | N/A | N/A | 3.4 | 1.2 | N/A | N/A | N/A | 4.7
Euromedia | La Stampa | 2023-10-19 | 2023-10-19 | N | 800 | N/A | 0.1 | 17.1 | 8.8 | 19.3 | 7.0 | 28.4 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | 4.0 | 3.1 | N/A | N/A | N/A | 2.3 | N/A | N/A | 3.0 | 0.6 | N/A | N/A | N/A | 3.8
