Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | SDS | Levica | LMŠ | SD | SMC | NSi | SAB | SNS | DeSUS | SLS | PSS | DD | ZS | PoS | ND | GS | LRG | K | Resni.ca | LIDE | VESNA | Other
Mediana | POP TV | 2022-06-20 | 2022-06-23 | N | 719 | N/A | 0.1 | 23.1 | 5.0 | 2.8 | 6.3 | N/A | 8.3 | 2.3 | 1.2 | N/A | N/A | 1.8 | N/A | N/A | 3.5 | 1.5 | 34.7 | N/A | N/A | 3.7 | N/A | 2.2 | 3.5
Ninamedia | Dnevnik and Večer | 2022-06-14 | 2022-06-16 | N | 700 | N/A | 0.1 | 26.8 | 7.2 | N/A | 7.1 | N/A | 8.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 40.6 | N/A | N/A | N/A | N/A | N/A | 6.4
Mediana | Delo | 2022-06-06 | 2022-06-09 | N | 714 | N/A | 0.1 | 25.8 | 5.0 | 2.8 | 7.0 | N/A | 8.6 | 2.3 | 0.7 | N/A | N/A | 1.9 | N/A | N/A | 1.9 | 2.0 | 37.2 | N/A | N/A | 2.4 | N/A | 1.0 | 1.4
Parsifal | Planet TV | 2022-05-24 | 2022-05-26 | N | 705 | N/A | 0.1 | 27.3 | 4.4 | 2.5 | 8.3 | N/A | 8.3 | 3.6 | 2.1 | N/A | 0.8 | 3.4 | N/A | N/A | N/A | N/A | 36.1 | N/A | 1.0 | 2.2 | N/A | N/A | 0
Mediana | POP TV | 2022-05-16 | 2022-05-19 | N | 724 | N/A | 0.1 | 23.6 | 4.9 | 2.5 | 8.3 | N/A | 5.1 | 1.8 | 1.1 | N/A | N/A | 2.0 | N/A | N/A | 3.5 | 1.9 | 36.6 | N/A | N/A | 3.5 | N/A | 1.6 | 3.7
Parsifal | Nova24TV | 2022-05-16 | 2022-05-19 | N | 703 | N/A | 0.1 | 29.8 | 5.8 | 4.8 | 6.7 | N/A | 10.6 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 36.6 | N/A | N/A | N/A | N/A | N/A | 3.2
Ninamedia | Dnevnik and Večer | 2022-05-10 | 2022-05-12 | N | 700 | N/A | 0.1 | 23.0 | 6.3 | 2.9 | 6.9 | N/A | 6.7 | N/A | N/A | N/A | N/A | 1.5 | N/A | N/A | 2.0 | N/A | 44.3 | N/A | N/A | N/A | N/A | 1.2 | 5.3
Mediana | Delo | 2022-05-03 | 2022-05-05 | N | 709 | N/A | 0.1 | 25.3 | 5.9 | 2.9 | 6.2 | N/A | 8.5 | 2.7 | 1.3 | N/A | N/A | 0.6 | N/A | N/A | 2.8 | 1.0 | 36.9 | N/A | N/A | 1.0 | N/A | 1.5 | 3.5
Ninamedia | Dnevnik and Večer | 2022-04-20 | 2022-04-22 | N | 900 | N/A | 0.1 | 24.0 | 7.1 | 4.3 | 8.1 | N/A | 6.9 | 4.0 | 1.5 | N/A | N/A | 2.6 | N/A | N/A | 3.6 | 1.7 | 27.7 | N/A | N/A | 3.0 | N/A | 2.4 | N/A
Mediana | Delo and POP TV | 2022-04-19 | 2022-04-21 | N | 1031 | N/A | 0.1 | 24.4 | 7.7 | 2.7 | 7.8 | N/A | 7.7 | 5.6 | N/A | 1.2 | N/A | 3.1 | N/A | N/A | 3.1 | 1.4 | 26.1 | N/A | N/A | 3.0 | N/A | 1.0 | 2.6
